FnGroup,PlotGroup,Name,WPA,EPA.APS,EPA.APN,AOS,CIA,CIS,CIN
,0,Primary Producers Total,1.58683056,2.543707598,290.4184,6.3306492,10,33.7,8.70903
1,1,Flagellates,0.165583199,NA,NA,NA,NA,NA,NA
1,1,Heterotrophic_microplankton,NA,NA,NA,0.288595994,NA,NA,NA
1,1,Ice algae,NA,NA,0.010559593,NA,NA,NA,NA
1,1,Ice Biota,NA,0.001179301,NA,NA,NA,NA,NA
1,1,Ice_algae,0.148629788,NA,NA,NA,NA,NA,NA
1,1,Ice_metazoa,0.002059928,NA,NA,NA,NA,NA,NA
1,1,Ice_protozoa,0.000784856,NA,NA,NA,NA,NA,NA
1,1,Island-associated Blooms,NA,NA,NA,NA,NA,NA,0.000462738
1,1,Large phytoplankton,NA,NA,0.472146393,NA,NA,NA,NA
1,1,Large Phytoplankton,NA,0.436570501,NA,NA,NA,NA,NA
1,1,Macroalgae,NA,NA,NA,NA,NA,0.020771513,NA
1,1,Macrophytes,NA,NA,NA,NA,NA,NA,0.022390553
1,1,Open Ocean Large phytoplankton,NA,NA,NA,NA,NA,NA,0.195199695
1,1,Open Ocean Small Phytoplankton,NA,NA,NA,NA,NA,NA,0.781947014
1,1,Phytoplankton,0.682942229,NA,NA,0.711404006,1,0.979228487,NA
1,1,Small phytoplankton,NA,NA,0.517294014,NA,NA,NA,NA
1,1,Small Phytoplankton,NA,0.562250198,NA,NA,NA,NA,NA
2,3,All other Zooplankton,NA,NA,NA,NA,NA,NA,0.80376345
2,3,Antarctic krill,NA,NA,NA,NA,0.4,NA,NA
2,3,Antarctic krill adults,NA,0.684782953,NA,NA,NA,NA,NA
2,3,Antarctic krill larvae,NA,0.118014146,NA,NA,NA,NA,NA
2,3,Carnivorous_macroplankton,NA,NA,NA,0.119802588,NA,NA,NA
2,3,Ctenophores,NA,0.009434164,NA,NA,NA,NA,NA
2,3,Herbivorous_mesozooplankton,NA,NA,NA,0.093243514,NA,NA,NA
2,3,Herbivorous/detritivorous_copepods,NA,NA,NA,0.372974055,NA,NA,NA
2,3,Krill,NA,NA,NA,0.403045046,NA,0.415430267,NA
2,3,Krill_crystal,0.026097099,NA,NA,NA,NA,NA,NA
2,3,Krill_superba,0.061169378,NA,NA,NA,NA,NA,NA
2,3,Large Krill (24 months),NA,NA,0.279803208,NA,NA,NA,NA
2,3,Large Zooplankton Crustaceans,NA,NA,NA,NA,NA,NA,0.57411675
2,3,Macrozoo,0.023909444,NA,NA,NA,NA,NA,NA
2,3,Macrozooplankton,NA,0.310855474,0.12051578,NA,0.88,NA,NA
2,3,Mesozoo,0.440336818,NA,NA,NA,NA,NA,NA
2,3,Mesozooplankton,NA,1.169310617,0.44763004,NA,1,0.652818991,NA
2,3,Microzoo,0.133048213,NA,NA,NA,NA,NA,NA
2,3,Microzooplankton,NA,0.224059939,0.0860827,NA,1.2,0.771513353,NA
2,3,Other euphausiids,NA,0.117948293,NA,NA,NA,NA,NA
2,3,Other Euphausiids,NA,NA,5.09609584,NA,NA,NA,NA
2,3,Other krill,NA,NA,NA,NA,0.19,NA,NA
2,3,Other macrozooplankton,NA,NA,NA,NA,NA,0.326409496,NA
2,3,Other_krill_(external),NA,NA,NA,0.228472508,NA,NA,NA
2,3,Salps,NA,0.003538095,0.55092928,0.000494736,0.0652,NA,NA
2,3,Small Krill (< 24 months),NA,NA,0.099617311,NA,NA,NA,NA
2,3,Small Zooplankton Crustaceans,NA,NA,NA,NA,NA,NA,1.8371736
3,4,Antarctic silverfish,NA,NA,NA,NA,0.0802,NA,NA
3,4,Cephalopods,0.00301287,0.005480257,0.008573837,0.001200321,0.015,0.008308605,NA
3,4,Large Cephalopods,NA,NA,NA,NA,NA,NA,0.007463518
3,4,Large mesopelagic fish,NA,NA,NA,NA,NA,0.044510386,NA
3,4,Large Pelagics,NA,NA,NA,NA,NA,NA,0.004822581
3,4,Mesopelagic fish,NA,NA,NA,NA,0.12,NA,NA
3,4,Myctophids,NA,NA,0.011259617,NA,NA,0.130563798,0.387528806
3,4,Off-shelf pelagic fish,NA,0.047222503,NA,NA,NA,NA,NA
3,4,On-shelf pelagic fish,NA,0.169106591,NA,NA,NA,NA,NA
3,4,Other fish,NA,NA,NA,NA,0.193,NA,NA
3,4,Other_fish_(external),NA,NA,NA,0.243277261,NA,NA,NA
3,4,Pelagic_fish,0.022037187,NA,NA,0.284441444,NA,NA,NA
3,4,Silverfish,0.040685655,NA,NA,NA,NA,NA,NA
3,4,Small Cephalopods,NA,NA,NA,NA,NA,NA,0.005167051
3,4,Small mesopelagic fish,NA,NA,NA,NA,NA,0.086053412,NA
3,4,Small Pelagics,NA,NA,NA,NA,NA,NA,0.129176269
4,5,Adelie,0.00077404,NA,NA,NA,NA,NA,NA
4,5,AdÃ©lie Penguin,NA,NA,2.00E-05,NA,NA,NA,NA
4,5,AdŽlie penguin,NA,0.000786232,NA,NA,NA,NA,NA
4,5,AdŽlie penguins,NA,NA,NA,NA,0.0016,NA,NA
4,5,Albatrosses,NA,NA,NA,NA,NA,1.01E-06,NA
4,5,Antarctic fur seal,NA,NA,NA,NA,NA,1.01E-05,NA
4,5,Antarctic Fur Seal,NA,NA,3.44E-06,NA,NA,NA,NA
4,5,Antarctic Fur Seals,NA,NA,NA,NA,NA,NA,3.00E-05
4,5,Baleen whales,NA,NA,NA,NA,0.0127,0.000801187,NA
4,5,Baleen_whale,NA,NA,NA,0.012235688,NA,NA,NA
4,5,Baleen_whales,0.000293123,NA,NA,NA,NA,NA,NA
4,5,Black_browed_albatross,NA,NA,NA,0.000678645,NA,NA,NA
4,5,Blue Whale,NA,NA,2.48E-05,NA,NA,NA,NA
4,5,Chinstrap Penguin,NA,NA,7.37E-05,NA,NA,NA,NA
4,5,Chinstrap_penguin,NA,NA,NA,1.95E-05,NA,NA,NA
4,5,Crabeater,0.001391239,NA,NA,NA,NA,NA,NA
4,5,Crabeater seal,NA,0.012578928,NA,NA,NA,NA,NA
4,5,Crabeater Seal,NA,NA,0.003780064,NA,NA,NA,NA
4,5,Crabeater seals,NA,NA,NA,NA,0.0206,NA,NA
4,5,Dark-mantled Sooty Albatross,NA,NA,NA,NA,NA,NA,2.93E-06
4,5,Diverse_flying_seabirds,NA,NA,NA,0.01013477,NA,NA,NA
4,5,Elephant_seal,NA,NA,NA,0.01674898,NA,NA,NA
4,5,Emperor,0.000308921,NA,NA,NA,NA,NA,NA
4,5,Emperor Penguin,NA,NA,3.44E-07,NA,NA,NA,NA
4,5,Emperor penguins,NA,NA,NA,NA,9.00E-04,NA,NA
4,5,Fin Whales,NA,NA,0.000147374,NA,NA,NA,NA
4,5,Flying birds,NA,NA,1.38E-05,NA,3.00E-04,NA,NA
4,5,Flying seabirds,NA,7.86E-05,NA,NA,NA,NA,NA
4,5,Flying_birds,8.37E-05,NA,NA,NA,NA,NA,NA
4,5,Fur_seal,NA,NA,NA,0.008369096,NA,NA,NA
4,5,Gentoo Penguins,NA,NA,4.13E-06,NA,NA,NA,4.80E-06
4,5,Gentoo_penguin,NA,NA,NA,0.001863413,NA,NA,NA
4,5,Giant Petrels,NA,NA,NA,NA,NA,NA,4.66E-06
4,5,Grey_headed_albatross,NA,NA,NA,0.00072505,NA,NA,NA
4,5,Grey-headed Albatross,NA,NA,NA,NA,NA,NA,9.73E-06
4,5,Humpback whale,NA,0.001336593,NA,NA,NA,NA,NA
4,5,Humpback Whale,NA,NA,0.000279597,NA,NA,NA,NA
4,5,Indian Yellow-nosed Albatross,NA,NA,NA,NA,NA,NA,9.59E-06
4,5,King Penguins,NA,NA,NA,NA,NA,NA,0.001689786
4,5,King_penguin,NA,NA,NA,0.006332347,NA,NA,NA
4,5,Light-mantled Sooty Albatross,NA,NA,NA,NA,NA,NA,8.04E-07
4,5,Macaroni Penguin,NA,NA,3.44E-07,NA,NA,NA,NA
4,5,Macaroni Penguins,NA,NA,NA,NA,NA,NA,0.000471005
4,5,Macaroni_penguin,NA,NA,NA,0.006044413,NA,NA,NA
4,5,Minke,0.000561086,NA,NA,NA,NA,NA,NA
4,5,Minke whale,NA,0.003538068,NA,NA,NA,NA,NA
4,5,Minke whales,NA,NA,NA,NA,0.0014,NA,NA
