"","FnGroup","PlotGroup","Name","B_WPA","BrelPP_WPA","B_EPA.APS","BrelPP_EPA.APS","B_EPA.APN","BrelPP_EPA.APN","B_AOS","BrelPP_AOS","B_CIA","BrelPP_CIA","B_CIS","BrelPP_CIS","B_CIN","BrelPP_CIN"
"1",1,1,"Flagellates",0.26275248,0.165583198750596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1,1,"Heterotrophic_microplankton",NA,NA,NA,NA,NA,NA,1.827,0.288595994230734,NA,NA,NA,NA,NA,NA
"3",1,1,"Ice algae",NA,NA,NA,NA,3.0667,0.0105595926428904,NA,NA,NA,NA,NA,NA,NA,NA
"4",1,1,"Ice Biota",NA,NA,0.002999798,0.00117930142692446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1,1,"Ice_algae",0.23585029,0.148629788173477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1,1,"Ice_metazoa",0.003268756,0.00205992755773496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1,1,"Ice_protozoa",0.001245434,0.000784856323916524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1,1,"Island-associated Blooms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00403,0.000462738100569179
"9",1,1,"Large phytoplankton",NA,NA,NA,NA,137.12,0.472146392928272,NA,NA,NA,NA,NA,NA,NA,NA
"10",1,1,"Large Phytoplankton",NA,NA,1.1105077,0.43657050082059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",1,1,"Macroalgae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0.0207715133531157,NA,NA
"12",1,1,"Macrophytes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.195,0.0223905532533474
"13",1,1,"Open Ocean Large phytoplankton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,0.195199695029182
"14",1,1,"Open Ocean Small Phytoplankton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.81,0.781947013616901
"15",1,1,"Phytoplankton",1.0837136,0.682942229194275,NA,NA,NA,NA,4.5036492,0.711404005769266,10,1,33,0.979228486646884,NA,NA
"16",1,1,"Small phytoplankton",NA,NA,NA,NA,150.2317,0.517294014428838,NA,NA,NA,NA,NA,NA,NA,NA
"17",1,1,"Small Phytoplankton",NA,NA,1.4302001,0.562250197752486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",2,3,"All other Zooplankton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0.803763450120163
"19",2,3,"Antarctic krill",NA,NA,NA,NA,NA,NA,NA,NA,4,0.4,NA,NA,NA,NA
"20",2,3,"Antarctic krill adults",NA,NA,1.7418876,0.684782952792831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",2,3,"Antarctic krill larvae",NA,NA,0.30019348,0.118014146058308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",2,3,"Carnivorous_macroplankton",NA,NA,NA,NA,NA,NA,0.75842816,0.119802588334858,NA,NA,NA,NA,NA,NA
"23",2,3,"Ctenophores",NA,NA,0.023997754,0.00943416374541961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",2,3,"Herbivorous_mesozooplankton",NA,NA,NA,NA,NA,NA,0.59029198,0.0932435144250293,NA,NA,NA,NA,NA,NA
"25",2,3,"Herbivorous/detritivorous_copepods",NA,NA,NA,NA,NA,NA,2.3611679,0.372974054540883,NA,NA,NA,NA,NA,NA
"26",2,3,"Krill",NA,NA,NA,NA,NA,NA,2.5515368,0.403045046312154,NA,NA,14,0.415430267062315,NA,NA
"27",2,3,"Krill_crystal",0.041411675,0.0260970994912021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",2,3,"Krill_superba",0.097065439,0.0611693784117694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",2,3,"Large Krill (24 months)",NA,NA,NA,NA,81.26,0.279803208061197,NA,NA,NA,NA,NA,NA,NA,NA
"30",2,3,"Large Zooplankton Crustaceans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.57411675008583
"31",2,3,"Macrozoo",0.037940236,0.0239094437404835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",2,3,"Macrozooplankton",NA,NA,0.79072543,0.31085547357004,35,0.120515779991901,NA,NA,8.8,0.88,NA,NA,NA,NA
"33",2,3,"Mesozoo",0.69873992,0.440336818317893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",2,3,"Mesozooplankton",NA,NA,2.9743843,1.1693106166521,130,0.447630039969919,NA,NA,10,1,22,0.652818991097923,NA,NA
"35",2,3,"Microzoo",0.21112497,0.133048212784609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",2,3,"Microzooplankton",NA,NA,0.56994297,0.224059939298102,25,0.0860826999942152,NA,NA,12,1.2,26,0.771513353115727,NA,NA
"37",2,3,"Other euphausiids",NA,NA,0.30002597,0.117948293363552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",2,3,"Other Euphausiids",NA,NA,NA,NA,1480,5.09609583965754,NA,NA,NA,NA,NA,NA,NA,NA
"39",2,3,"Other krill",NA,NA,NA,NA,NA,NA,NA,NA,1.9,0.19,NA,NA,NA,NA
"40",2,3,"Other macrozooplankton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,0.326409495548961,NA,NA
"41",2,3,"Other_krill_(external)",NA,NA,NA,NA,NA,NA,1.4463793,0.228472508001233,NA,NA,NA,NA,NA,NA
"42",2,3,"Salps",NA,NA,0.00899988,0.00353809534046924,160,0.550929279962977,0.003132,0.000494735990109829,0.652,0.0652,NA,NA,NA,NA
"43",2,3,"Small Krill (< 24 months)",NA,NA,NA,NA,28.9307,0.0996173107489057,NA,NA,NA,NA,NA,NA,NA,NA
"44",2,3,"Small Zooplankton Crustaceans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,1.83717360027466
